ID,ESTADO,FECHA_INSTALACION,MODELO,tipo_juego,ACCESIBLE,indicadorExposicion,ultimaFechaMantenimiento,desgasteAcumulado,AreaRecreativaID
22072,OPERATIVO,2006-01-09,1036 · ELEFANTE,infantiles,False,medio,2024-08-21,1300,17016
22061,OPERATIVO,2007-02-26,JMC-04,infantiles,False,medio,2023-09-12,2100,16987
22052,OPERATIVO,2007-08-22,Tobogan Autoportante en Area Infantil,infantiles,True,bajo,Ausente,200,16964
22020,OPERATIVO,2006-02-07,Multijuego en Area Infantil,infantiles,False,medio,2024-07-03,2600,16903
21992,OPERATIVO,2004-09-13,0349 · JMC-46,infantiles,False,alto,Ausente,2700,16846
21971,OPERATIVO,2006-03-08,Tobogan Autoportante en Area Infantil,infantiles,False,medio,Ausente,2000,16782
21965,OPERATIVO,2006-05-23,Tobogan Autoportante en Area Infantil,infantiles,True,medio,2024-07-27,1100,16749
21960,OPERATIVO,2007-04-25,Tobogan Autoportante en Area Infantil,infantiles,Desconocido,alto,Ausente,3900,16736
21955,OPERATIVO,2006-12-26,Tobogan Autoportante en Area Infantil,infantiles,True,alto,2024-05-16,1900,16716
21935,OPERATIVO,2009-01-01,DOS ASIENTOS PLANOS,infantiles,False,medio,Ausente,1600,18634
21910,OPERATIVO,2004-01-01,0815 · DOS ASIENTOS CUNA,infantiles,False,medio,2024-03-04,1500,18602
21899,OPERATIVO,2003-01-01,0816 · DOS ASIENTOS PLANOS,infantiles,True,medio,Ausente,1400,18585
21898,OPERATIVO,2011-01-01,0815 · DOS ASIENTOS CUNA,infantiles,True,medio,Ausente,2400,18584
21894,OPERATIVO,2006-01-01,0816 · DOS ASIENTOS PLANOS,infantiles,False,medio,Ausente,600,18580
21887,OPERATIVO,2008-01-01,0816 · DOS ASIENTOS PLANOS,infantiles,False,bajo,Ausente,300,18575
21871,OPERATIVO,2008-01-01,0816 · DOS ASIENTOS PLANOS,infantiles,True,medio,2023-10-18,700,18558
21865,OPERATIVO,2004-01-01,Columpio en Area Infantil,infantiles,True,alto,2024-05-19,2000,18552
21862,OPERATIVO,2017-01-02,0816 · DOS ASIENTOS PLANOS,infantiles,True,bajo,2024-05-07,1100,18546
